individual_tree_id;species_id;method;year_monitored;branching;canopy_size;height;health;years_after_planting
1267;280;PowerCoat;2018;NA;nan;16;3;0
1261;285;PowerCoat;2018;NA;nan;26;2;0
1262;283;PowerCoat;2018;NA;nan;50;2;0
1263;280;PowerCoat;2018;NA;nan;30;3;0
1256;283;PowerCoat;2018;NA;nan;52;3;0
1258;283;PowerCoat;2018;NA;nan;36;3;0
1253;283;PowerCoat;2018;NA;nan;28;2;0
1254;285;PowerCoat;2018;NA;nan;34;3;0
1255;283;PowerCoat;2018;NA;nan;46;3;0
1203;283;PowerCoat;2018;NA;nan;42;3;0
1231;283;PowerCoat;2018;NA;nan;42;3;0
1232;280;PowerCoat;2018;NA;nan;50;3;0
1249;285;PowerCoat;2018;NA;nan;34;3;0
1250;283;PowerCoat;2018;NA;nan;70;3;0
1251;285;PowerCoat;2018;NA;nan;20;3;0
1245;283;PowerCoat;2018;NA;nan;42;3;0
1246;283;PowerCoat;2018;NA;nan;38;3;0
1248;283;PowerCoat;2018;NA;nan;42;3;0
1241;280;PowerCoat;2018;NA;nan;36;3;0
1242;285;PowerCoat;2018;NA;nan;30;3;0
1243;283;PowerCoat;2018;NA;nan;28;3;0
1237;285;PowerCoat;2018;NA;nan;26;3;0
1238;280;PowerCoat;2018;NA;nan;26;3;0
1239;285;PowerCoat;2018;NA;nan;40;3;0
1234;280;PowerCoat;2018;NA;nan;46;2;0
1236;283;PowerCoat;2018;NA;nan;40;2;0
880;285;PowerCoat;2018;NA;nan;40;3;0
883;285;PowerCoat;2018;NA;nan;40;2;0
878;280;PowerCoat;2018;NA;nan;26;2;0
881;283;PowerCoat;2018;NA;nan;40;3;0
882;285;PowerCoat;2018;NA;nan;20;2;0
877;285;PowerCoat;2018;NA;nan;20;3;0
876;285;PowerCoat;2018;NA;nan;34;3;0
865;285;PowerCoat;2018;NA;nan;32;3;0
864;283;PowerCoat;2018;NA;nan;30;3;0
868;283;PowerCoat;2018;NA;nan;42;3;0
871;285;PowerCoat;2018;NA;nan;12;2;0
866;283;PowerCoat;2018;NA;nan;34;3;0
875;283;PowerCoat;2018;NA;nan;16;3;0
861;285;PowerCoat;2018;NA;nan;24;3;0
860;285;PowerCoat;2018;NA;nan;40;3;0
870;283;Mycorrhiza;2018;NA;nan;72;3;0
895;285;Fencing;2018;NA;nan;38;2;0
893;280;Fencing;2018;NA;nan;26;2;0
892;283;Fencing;2018;NA;nan;72;3;0
890;280;Fencing;2018;NA;nan;56;2;0
1393;282;PowerCoat;2018;NA;nan;40;3;0
1394;282;PowerCoat;2018;NA;nan;56;3;0
1388;282;PowerCoat;2018;NA;nan;60;3;0
1390;282;PowerCoat;2018;NA;nan;56;3;0
1383;282;PowerCoat;2018;NA;nan;52;3;0
1386;282;PowerCoat;2018;NA;nan;56;3;0
1379;282;PowerCoat;2018;NA;nan;50;3;0
1380;284;PowerCoat;2018;NA;nan;80;3;0
1382;284;PowerCoat;2018;NA;nan;68;3;0
1375;282;PowerCoat;2018;NA;nan;62;3;0
1376;284;PowerCoat;2018;NA;nan;74;3;0
1377;282;PowerCoat;2018;NA;nan;64;3;0
1378;284;PowerCoat;2018;NA;nan;140;2;0
1372;282;PowerCoat;2018;NA;nan;52;3;0
1368;282;PowerCoat;2018;NA;nan;76;3;0
1369;284;PowerCoat;2018;NA;nan;74;3;0
1370;282;PowerCoat;2018;NA;nan;60;3;0
1364;282;PowerCoat;2018;NA;nan;56;3;0
1365;284;PowerCoat;2018;NA;nan;66;3;0
1359;284;PowerCoat;2018;NA;nan;70;3;0
945;284;PowerCoat;2018;NA;nan;52;1;0
949;282;Mycorrhiza;2018;NA;nan;56;2;0
940;282;PowerCoat;2018;NA;nan;44;2;0
939;282;PowerCoat;2018;NA;nan;36;2;0
936;282;Mycorrhiza;2018;NA;nan;46;2;0
934;282;Mycorrhiza;2018;NA;nan;34;3;0
921;284;PowerCoat;2018;NA;nan;64;3;0
935;282;Mycorrhiza;2018;NA;nan;40;3;0
917;284;PowerCoat;2018;NA;nan;72;3;0
916;284;PowerCoat;2018;NA;nan;90;2;0
912;284;PowerCoat;2018;NA;nan;70;3;0
908;284;PowerCoat;2018;NA;nan;98;3;0
910;284;PowerCoat;2018;NA;nan;50;3;0
904;284;PowerCoat;2018;NA;nan;50;2;0
932;284;Mycorrhiza;2018;NA;nan;48;2;0
938;284;PowerCoat;2018;NA;nan;38;2;0
907;284;PowerCoat;2018;NA;nan;82;3;0
942;284;PowerCoat;2018;NA;nan;66;3;0
906;284;PowerCoat;2018;NA;nan;64;3;0
941;282;PowerCoat;2018;NA;nan;56;1;0
948;284;PowerCoat;2018;NA;nan;56;2;0
952;284;PowerCoat;2018;NA;nan;80;3;0
1795;282;PowerCoat;2018;NA;nan;30;3;0
1781;282;PowerCoat;2018;NA;nan;62;3;0
1785;284;PowerCoat;2018;NA;nan;64;3;0
1789;284;PowerCoat;2018;NA;nan;40;3;0
1797;284;PowerCoat;2018;NA;nan;72;3;0
1786;282;PowerCoat;2018;NA;nan;66;2;0
1790;284;PowerCoat;2018;NA;nan;76;3;0
1752;284;Mycorrhiza;2018;NA;nan;60;0;0
1765;284;PowerCoat;2018;NA;nan;42;2;0
1309;282;PowerCoat;2018;NA;nan;58;3;0
1308;282;PowerCoat;2018;NA;nan;52;3;0
1307;284;PowerCoat;2018;NA;nan;74;3;0
1314;284;PowerCoat;2018;NA;nan;80;3;0
1796;284;PowerCoat;2018;NA;nan;46;3;0
1313;282;PowerCoat;2018;NA;nan;70;3;0
1312;284;PowerCoat;2018;NA;nan;84;2;0
1762;282;PowerCoat;2018;NA;nan;40;3;0
1311;282;PowerCoat;2018;NA;nan;62;3;0
1318;282;PowerCoat;2018;NA;nan;64;3;0
1317;284;PowerCoat;2018;NA;nan;54;2;0
1771;282;PowerCoat;2018;NA;nan;44;3;0
1316;282;PowerCoat;2018;NA;nan;48;3;0
1322;282;PowerCoat;2018;NA;nan;54;3;0
1321;284;PowerCoat;2018;NA;nan;80;2;0
1772;282;PowerCoat;2018;NA;nan;54;3;0
1320;282;PowerCoat;2018;NA;nan;60;3;0
1319;284;PowerCoat;2018;NA;nan;74;2;0
1770;282;PowerCoat;2018;NA;nan;44;3;0
1387;282;PowerCoat;2018;NA;nan;50;3;0
1326;284;PowerCoat;2018;NA;nan;76;2;0
1324;282;PowerCoat;2018;NA;nan;50;3;0
1323;282;PowerCoat;2018;NA;nan;50;3;0
1330;284;PowerCoat;2018;NA;nan;24;2;0
1773;282;PowerCoat;2018;NA;nan;34;3;0
1329;284;PowerCoat;2018;NA;nan;72;3;0
1328;282;PowerCoat;2018;NA;nan;40;3;0
1777;282;PowerCoat;2018;NA;nan;32;3;0
1327;282;PowerCoat;2018;NA;nan;44;2;0
1747;282;PowerCoat;2018;NA;nan;58;3;0
1334;282;PowerCoat;2018;NA;nan;48;3;0
1333;284;PowerCoat;2018;NA;nan;92;3;0
1751;282;PowerCoat;2018;NA;nan;46;3;0
1755;282;PowerCoat;2018;NA;nan;40;3;0
1331;284;PowerCoat;2018;NA;nan;94;3;0
1337;282;PowerCoat;2018;NA;nan;48;2;0
1336;284;PowerCoat;2018;NA;nan;106;2;0
1335;282;PowerCoat;2018;NA;nan;76;3;0
1342;284;PowerCoat;2018;NA;nan;56;3;0
1341;282;PowerCoat;2018;NA;nan;56;2;0
1340;284;PowerCoat;2018;NA;nan;48;3;0
1339;284;PowerCoat;2018;NA;nan;50;2;0
1345;284;PowerCoat;2018;NA;nan;34;3;0
1349;282;PowerCoat;2018;NA;nan;44;3;0
1348;282;PowerCoat;2018;NA;nan;38;3;0
915;284;PowerCoat;2018;NA;nan;64;3;0
1354;284;PowerCoat;2018;NA;nan;30;3;0
914;282;PowerCoat;2018;NA;nan;44;3;0
1353;284;PowerCoat;2018;NA;nan;50;3;0
913;284;PowerCoat;2018;NA;nan;60;3;0
1351;283;PowerCoat;2018;NA;nan;86;3;0
909;284;PowerCoat;2018;NA;nan;52;3;0
1357;284;PowerCoat;2018;NA;nan;96;2;0
1759;282;PowerCoat;2018;NA;nan;36;3;0
1355;282;PowerCoat;2018;NA;nan;58;3;0
1362;282;PowerCoat;2018;NA;nan;60;2;0
902;284;Mycorrhiza;2018;NA;nan;58;3;0
